score,method,member,comment
0.8345,perceptron,2024jswain,2026-02-08 22:09:09
0.823,mlp,zy495leafred,2026-02-18 15:10:49
0.818,mlp,hollis-yang,2026-02-18 14:24:09
0.8169,perceptron,CashelF,2026-02-12 13:06:24
0.8147,mlp,2024jswain,2026-02-08 22:09:09
0.8131,perceptron,RyanWHU2016,2026-02-18 14:41:43
0.8125,perceptron,hollis-yang,2026-02-18 14:24:09
0.807,mlp,bogdanppop,2026-02-17 21:39:14
0.8065,perceptron,Kaiwen-CT,2026-02-17 22:44:55
0.8026,mlp,KatrinaWan823,2026-02-17 22:10:21
0.8021,mlp,ms3884,2026-02-16 16:13:23
0.7993,perceptron,zhumengzhiren,2026-02-17 13:53:53
0.7993,perceptron,zy495leafred,2026-02-18 15:10:49
0.7988,mlp,ZiruiHan,2026-02-18 15:56:40
0.7982,mlp,zhumengzhiren,2026-02-17 13:53:53
0.7966,perceptron,bfagiolo,2026-02-18 00:39:56
0.7966,perceptron,flash131307,2026-02-10 16:36:05
0.7955,perceptron,Beketovian,2026-02-18 15:31:02
0.7922,mlp,ririp24,2026-02-17 12:18:42
0.7911,mlp,sanskeviSTAN,2026-02-11 22:09:05
0.7911,mlp,Kaiwen-CT,2026-02-17 22:44:55
0.7911,mlp,beratcelik1,2026-02-12 14:32:06
0.7905,mlp,stefan-arni,2026-02-18 14:38:36
0.7905,perceptron,blabrl,2026-02-18 14:56:06
0.7894,mlp,tungdnguyen,2026-02-18 13:37:18
0.7889,perceptron,co-smith,2026-02-18 15:29:28
0.7883,mlp,Bxvu,2026-02-18 02:01:37
0.7878,perceptron,jihjihk,2026-02-16 11:33:18
0.7878,mlp,kai-maeda,2026-02-10 14:44:25
0.7872,perceptron,beratcelik1,2026-02-12 14:32:06
0.7867,mlp,co-smith,2026-02-18 15:29:28
0.7861,mlp,gino885,2026-02-17 17:16:22
0.7856,perceptron,omermoav,2026-02-18 11:03:59
0.7856,perceptron,ZiruiHan,2026-02-18 15:56:40
0.7839,perceptron,KatrinaWan823,2026-02-17 22:10:21
0.7839,mlp,susanwu33,2026-02-17 20:57:29
0.7834,perceptron,kkm1188,2026-02-18 15:58:41
0.7834,perceptron,curtiskao,2026-02-16 08:52:36
0.7828,perceptron,hniz,2026-02-18 11:58:46
0.7823,mlp,Yuchen667,2026-02-18 13:04:46
0.7823,mlp,dylandres,2026-02-17 01:21:13
0.7812,mlp,omermoav,2026-02-18 11:03:59
0.7801,mlp,kkm1188,2026-02-18 15:58:41
0.7801,mlp,YanY-Henry,2026-02-14 16:43:32
0.7801,mlp,bfagiolo,2026-02-18 00:39:56
0.7795,perceptron,Fengzdadi,2026-02-17 15:07:38
0.779,perceptron,rdhanushikka,2026-02-18 00:31:17
0.779,perceptron,susanwu33,2026-02-17 20:57:29
0.7784,mlp,jeff082chen,2026-02-12 23:04:38
0.7784,perceptron,kolananish,2026-02-18 02:50:52
0.7784,mlp,abarat007,2026-02-16 19:49:32
0.7779,mlp,tishyakhanna97,2026-02-18 15:36:21
0.7779,perceptron,tishyakhanna97,2026-02-18 15:36:21
0.7774,perceptron,ashaikh23,2026-02-18 15:14:28
0.7768,perceptron,gino885,2026-02-17 17:16:22
0.7763,perceptron,ramo2004,2026-02-12 19:41:15
0.7763,mlp,blabrl,2026-02-18 14:56:06
0.7757,mlp,ig336,2026-02-10 17:23:13
0.7757,mlp,yashika-batra,2026-02-18 11:13:00
0.7757,perceptron,ethanchen143,2026-02-08 11:59:01
0.7757,perceptron,sejaljain31,2026-02-17 14:45:51
0.7757,perceptron,theodore-chronopoulos,2026-02-12 16:39:36
0.7757,perceptron,marmiskarian,2026-02-18 15:54:19
0.7757,perceptron,D-Tony2020,2026-02-18 00:27:28
0.7752,perceptron,jeff082chen,2026-02-12 23:04:38
0.7752,perceptron,tungdnguyen,2026-02-18 13:37:18
0.7752,mlp,KarynN,2026-02-16 02:06:25
0.7752,mlp,elooff,2026-02-10 22:27:47
0.7752,perceptron,VincentPit,2026-02-15 11:20:18
0.7752,perceptron,Bxvu,2026-02-18 02:01:37
0.7746,perceptron,vigilius405,2026-02-18 13:04:52
0.7741,perceptron,JaneShuey,2026-02-18 14:18:01
0.7735,mlp,RithvikKasarla,2026-02-18 15:29:16
0.7735,mlp,rt539,2026-02-18 06:01:12
0.7735,perceptron,elooff,2026-02-10 22:27:47
0.7735,mlp,Yaozzzx,2026-02-18 14:39:49
0.7735,perceptron,stefan-arni,2026-02-18 14:38:36
0.7735,mlp,advaith-1212,2026-02-12 17:21:50
0.773,mlp,JPL1205,2026-02-15 15:49:36
0.773,mlp,michaeltwersky,2026-02-18 09:44:03
0.773,perceptron,pr484-cu,2026-02-16 22:47:43
0.7719,mlp,rdhanushikka,2026-02-18 00:31:17
0.7719,mlp,JaneShuey,2026-02-18 14:18:01
0.7713,perceptron,XinyiQiao,2026-01-31 17:42:47
0.7713,mlp,fedickinson,2026-02-11 21:53:42
0.7713,mlp,jihjihk,2026-02-16 11:33:18
0.7713,mlp,Sulaiman-Alam,2026-02-16 21:01:35
0.7702,perceptron,Flx232,2026-02-16 19:26:59
0.7702,mlp,Beketovian,2026-02-18 15:31:02
0.7686,perceptron,ColeDnought,2026-02-12 11:53:55
0.7686,mlp,RyanWHU2016,2026-02-18 14:41:43
0.768,perceptron,qqw-ut,2026-02-17 20:18:19
0.768,mlp,TonyWan7,2026-02-11 18:45:24
