score,method,member,comment
0.06371,character_n_gram,hollis-yang,2026-03-26 13:02:52 EDT@fc31bf2
0.06564,subword_n_gram,hollis-yang,2026-03-26 13:02:52 EDT@fc31bf2
0.07143,subword_n_gram,co-smith,2026-03-25 21:40:22 EDT@c056738
0.08301,subword_n_gram,Fengzdadi,2026-03-26 01:52:43 EDT@d40de0a
0.08687,subword_n_gram,gino885,2026-03-25 17:37:24 EDT@d5aaf01
0.08687,transformer,hollis-yang,2026-03-26 13:02:52 EDT@fc31bf2
0.0888,transformer,Fengzdadi,2026-03-26 01:52:43 EDT@d40de0a
0.10039,character_n_gram,gino885,2026-03-25 17:37:24 EDT@d5aaf01
0.10425,subword_n_gram,zy495leafred,2026-03-26 18:54:21 EDT@fb1b895
0.10618,subword_n_gram,vishalival,2026-03-24 19:17:29 EDT@bb4f3ce
0.10618,character_n_gram,Fengzdadi,2026-03-26 01:52:43 EDT@d40de0a
0.10618,transformer,zy495leafred,2026-03-26 18:54:21 EDT@fb1b895
0.10618,character_n_gram,vishalival,2026-03-24 19:17:29 EDT@bb4f3ce
0.10811,subword_n_gram,elooff,2026-03-26 18:48:49 EDT@de9f6e1
0.11004,character_n_gram,zy495leafred,2026-03-26 18:54:21 EDT@fb1b895
0.11197,transformer,gino885,2026-03-25 17:37:24 EDT@d5aaf01
0.1139,character_n_gram,elooff,2026-03-26 18:48:49 EDT@de9f6e1
0.12741,subword_n_gram,RyanWHU2016,2026-03-24 19:13:06 EDT@4f383d3
0.15444,character_n_gram,YanY-Henry,2026-03-25 17:31:31 EDT@325a8c2
0.15444,transformer,Bharath-Sathappan,2026-03-21 15:13:17 EDT@c061bab
0.15444,subword_n_gram,YanY-Henry,2026-03-25 17:31:31 EDT@325a8c2
0.15444,transformer,YanY-Henry,2026-03-25 17:31:31 EDT@325a8c2
0.15444,character_n_gram,ZiruiHan,2026-03-21 15:13:17 EDT@c061bab
0.15444,subword_n_gram,ZiruiHan,2026-03-21 15:13:17 EDT@c061bab
